,,,impression,click,web to app auto redirect,branch cta view,sms sent,open,install,reinstall,web session start,pageview,commerce event,custom event,content event,user lifecycle event
dimension,format,definition,"Loading of a user generated and placed impression pixel for the purpose of creating an attributing event from a marketing effort. By this definition, no automated renders from Branch (e.g. Journeys, Deepviews) are impressions, nor are views of content in the app.",A user initiated action of tapping on a Branch link or html element directly in front of a Branch link,"A web to app auto redirect works by simulating the action of a user clicking a link, but without user interaction. Technically this is implemented using ""open_app=true"" in our web to app products. Currently, this only exists on Journeys (+ banners + Web SDK Deepviews).","The loading of a visual element or webpage that includes a Branch-created CTA, powered by a Branch link. Today, this includes loading Journeys and Deepviews.",An successfully triggered call to send an SMS (not necessarily receipt of the SMS),"A mobile app launch that is not an install (ie not a first time app launch for that persona). An ""open"" ends when an app is backgrounded or closed.",The first time an app launches for a given IDFA/AAID. (Excludes cases where the IDFA is reset with the app still installed.),When an app is deleted then re-installed on the same device (same device is defined as same IDFA/AAID).,A website launch (ie first page view). A session is considered to end after 30 minutes of inactivity (ie not launching a page or triggering an event).,"A pageview is the loading of a single page for a given website which is triggered more specifically, by calling branch.init() or branch.track('pageview')","A standard event where a customer is on a journey to pay money to a business. It excludes views, but includes adding to cart through to purchasing. [Uses Branch event tracking code or the Data Ingestion pipeline. Each event within it is a point in time action.]",Custom event is a non-standard user tracked event. [Uses Branch event tracking code or the Data Ingestion pipeline. Each event within it is a point in time action.],"A standard event involving content that may or may not be a product, but excludes events where a customer is on a journey to pay money to a business (adding to cart to purchasing). [Uses Branch event tracking code. Each event within it is a point in time action.]",A standard event not involving content. [Uses Branch event tracking code. Each event within it is a point in time action.]
,,,"total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique, revenue","total, unique",,
event_data_currency,string,"Currency that revenue, price, shipping, tax were orginally reported in by the partner",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_shipping,double,"Shipping cost associated with the transaction",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_tax,double,"Total tax associated with the transaction",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_coupon,string,"Transaction coupon redeemed with the transaction (e.g. ""SPRING2017"")",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_affiliation,string,"Store or affiliation from which this transaction occurred (e.g. Google Store)",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_search_query,string,"Search query associated with the event",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_description,string,"Description associated with the event, not necessarily specific to any individual content items",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$content_schema,"enum { COMMERCE_AUCTION, COMMERCE_BUSINESS, COMMERCE_OTHER, COMMERCE_PRODUCT, COMMERCE_RESTAURANT, COMMERCE_SERVICE, COMMERCE_TRAVEL_FLIGHT, COMMERCE_TRAVEL_HOTEL, COMMERCE_TRAVEL_OTHER, GAME_STATE, MEDIA_IMAGE, MEDIA_MIXED, MEDIA_MUSIC, MEDIA_OTHER, MEDIA_VIDEO, OTHER, TEXT_ARTICLE, TEXT_BLOG, TEXT_OTHER, TEXT_RECIPE, TEXT_REVIEW, TEXT_SEARCH_RESULTS, TEXT_STORY, TEXT_TECHNICAL_DOC }","category / schema for a piece of content",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$locally_indexable,array[boolean],"true: content can be indexed for local (device) use
false: cannot index for local use
",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$publicly_indexable,array[boolean],"true: content can be seen by anyone
false: cannot index for public use
",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$exp_date,array[int],"the last time afterwhich this content is no longer valid. null / 0 mean no limit.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$creation_timestamp,array[int],"time the content was created",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$canonical_identifier,array[string],"used to allow Branch to unify content/messages",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$og_title,array[string],"The rendered document title (also for searching) - if a collection then the title for the collection not the individual items",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$canonical_url,array[string],"A web URL which refers to the content on the public web (mobile or desktop). Preferably is a permalink, and used as canonical URL elsewhere (main website, AMP pages, etc.)",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$og_description,array[string],"description (for individual item)",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$og_image_url,array[string],"image URL",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$keywords[],array[string],"any keywords",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$price,array[double],"price for the product/content",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$quantity,array[double],"quantity of the item to be ordered (for PURCHASE, ADD_TO_CART, etc)",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$sku,array[string],"product sku or product id",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$product_name,array[string],"product's name",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$product_brand,array[string],"product's brand",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$product_category,"enum { ANIMALS_AND_PET_SUPPLIES, APPAREL_AND_ACCESSORIES, ARTS_AND_ENTERTAINMENT, BABY_AND_TODDLER, BUSINESS_AND_INDUSTRIAL, CAMERAS_AND_OPTICS, ELECTRONICS, FOOD_BEVERAGES_AND_TOBACCO, FURNITURE, HARDWARE, HEALTH_AND_BEAUTY, HOME_AND_GARDEN, LUGGAGE_AND_BAGS, MATURE, MEDIA, OFFICE_SUPPLIES, RELIGIOUS_AND_CEREMONIAL, SOFTWARE, SPORTING_GOODS, TOYS_AND_GAMES, VEHICLES_AND_PARTS }","product category, if product",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$product_variant,array[string],"product variant (e.g. XL)",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$currency,array[string],"Currency code for a BUO",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$rating_average,array[double],"average rating of the item",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$rating_count,array[int],"number of ratings for the item",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$rating_max,array[double],"maximum possible rating for the item (e.g. 5 stars is highest possible rating)",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$address_street,array[string],"street address for a restaurant, business, room (hotel), etc",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$address_city,array[string],"city for a restaurant, business, room (hotel), etc",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$address_region,array[string],"state or region for a restaurant, business, room (hotel), etc",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$address_country,array[string],"country code for a restaurant, business, room (hotel), etc",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$address_postal_code,array[string],"postal/zip code for a restaurant, business, room (hotel), etc",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$latitude,array[double],"latitude for a restaurant, business, room (hotel), etc",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
content_items[].$longitude,array[double],"longitude for a restaurant, business, room (hotel), etc",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
